,eth_PriceUSD,eth_AdrActCnt,eth_BlkCnt,eth_BlkSizeByte,eth_BlkSizeMeanByte,eth_DiffMean,eth_FeeMeanNtv,eth_FeeMedNtv,eth_FeeTotNtv,eth_TxCnt,eth_TxTfr,eth_TxTfrValMeanNtv,eth_TxTfrValMedNtv,eth_TxTfrValNtv
2017-12-23,692.9047539450614,490621.0,5947.0,155801866.0,26198.3968387422,1792356524198480.0,0.00131361914101499,0.00084,1207.059669915192,918881.0,703255.0,14.003824265068,0.53445157,9848259.433530381
2017-12-24,660.774341320865,415698.0,5981.0,122725324.0,20519.1981274034,1822644898874090.0,0.00135064643616661,0.00063,1024.1060498813335,758234.0,559078.0,13.8722593041565,0.43683673,7755674.987249228
2017-12-25,723.7678495032145,423259.0,6032.0,131021075.0,21721.0004973475,1853229389024430.0,0.00100585712829671,0.000441,756.7676749008501,752361.0,564788.0,11.8851044166728,0.29,6712564.353283809
2017-12-26,746.7047364114552,465903.0,5992.0,134421039.0,22433.4177236315,1865831276932760.0,0.000913403481054404,0.000441,743.0628658701041,813510.0,616222.0,14.9024140189936,0.3648654955,9183195.371612255
2017-12-27,739.7526580946815,473086.0,5966.0,147560599.0,24733.5901776735,1864021965650590.0,0.000905154746076339,0.000441,826.1818047922662,912752.0,685699.0,15.4556906017381,0.582352941176471,10597951.589921199
2017-12-28,711.119770894214,493568.0,5889.0,152910062.0,25965.3696722703,1916423811502220.0,0.000877261994595343,0.00042,832.9628956579553,949503.0,736907.0,18.2202938584969,0.54054,13426662.086383386
2017-12-29,741.3018147282294,580463.0,5786.0,170932097.0,29542.3603525752,1870550685531490.0,0.000924092274987493,0.00042,1007.4370813677322,1090191.0,883460.0,17.026817748215,0.94676477,15042512.407838052
2017-12-30,702.4271353009937,611071.0,5773.0,169414692.0,29346.0405335181,1874640020443700.0,0.000855792950678261,0.00042,972.7447595321744,1136659.0,958952.0,17.4410742103642,1.0,16725152.9961772
2017-12-31,740.6332840444185,492424.0,5907.0,147897158.0,25037.6092771288,1919555032426120.0,0.000919998946006956,0.000441,871.2215218874397,946981.0,744009.0,12.5745916707537,0.5,9355609.374365775
2018-01-01,754.5453284628871,520683.0,5926.0,142374716.0,24025.4330070874,1935071726621420.0,0.000845420687139698,0.000441,768.4409064727965,908945.0,704514.0,12.0732781549426,0.354914431519758,8505793.486051261
