,btc_PriceUSD,btc_AdrActCnt,btc_BlkCnt,btc_BlkSizeByte,btc_BlkSizeMeanByte,btc_DiffMean,btc_FeeMeanNtv,btc_FeeMedNtv,btc_FeeTotNtv,btc_TxCnt,btc_TxTfr,btc_TxTfrValMeanNtv,btc_TxTfrValMedNtv,btc_TxTfrValNtv
2016-03-29,415.863828755114,674110.0,157.0,132557048.0,844312.407643312,165496835118.227,0.000292197186121509,0.0001,58.62264486,200627.0,490627.0,3.49615783602394,0.02174755,1715309.43061492
2016-03-30,412.777697779076,475833.0,147.0,109513216.0,744987.863945578,165496835118.226,0.00022679483556178,0.0001,45.01741409,198494.0,429792.0,3.65271123117706,0.0407747,1569906.06547005
2016-03-31,415.956811221508,425668.0,124.0,105562516.0,851310.612903226,165496835118.226,0.000222049015511223,0.0001,46.62518613,209977.0,442503.0,3.91804819344258,0.044456035,1733748.07974292
2016-04-01,417.20066025716,498916.0,153.0,115491294.0,754845.058823529,166568181901.956,0.000255100003291348,0.0001,51.92917707,203564.0,482770.0,3.56452726871475,0.026111705,1720846.82951742
2016-04-02,419.763056691993,486983.0,139.0,113202585.0,814407.086330935,166851513282.777,0.000269632635748456,0.0001,51.12153884,189597.0,449018.0,3.47416956940147,0.022884865,1559964.67171351
2016-04-03,420.073578901227,456249.0,142.0,100797077.0,709838.570422535,166851513282.777,0.000242328044716796,0.0001,41.64092422,171837.0,450813.0,2.88133011223046,0.01365399,1298941.07188495
2016-04-04,419.540727878434,486496.0,166.0,110674192.0,666712.0,166851513282.777,0.000215820750151848,0.0001,45.12617647,209091.0,503068.0,3.30347167637892,0.02386,1661870.88929259
2016-04-05,422.50136440678,464749.0,155.0,116092529.0,748984.058064516,166851513282.777,0.000221877211604282,0.0001,48.61906587,219126.0,479076.0,3.50857532513735,0.03591353,1680874.2324655
2016-04-06,421.907191233197,480231.0,157.0,110853071.0,706070.515923567,166851513282.777,0.000266259887530228,0.0001,58.35617955,219170.0,509953.0,3.39826132109061,0.02752024,1732953.55547412
2016-04-07,421.467220046756,450348.0,139.0,106835950.0,768603.956834532,166851513282.777,0.000204165558736404,0.0001,45.14406752,221115.0,484167.0,4.09826166757714,0.0339,1984243.05680582
2016-04-08,418.643460549386,433298.0,144.0,101380518.0,704031.375,166851513282.777,0.000203471891561392,0.0001,42.76267009,210165.0,470875.0,3.62959738649992,0.02979951,1709086.66936815
2016-04-09,418.758635359439,428083.0,162.0,103967871.0,641776.981481481,166851513282.777,0.000186917673666306,0.0001,36.92259575,197534.0,460153.0,3.53306477417413,0.02034464,1625750.35503055
2016-04-10,421.954488544711,444157.0,173.0,95779673.0,553639.728323699,166851513282.777,0.000178076331334904,0.0001,33.17793552,186313.0,483194.0,3.01952011457348,0.0109094,1459014.00224122
2016-04-11,423.273044009351,476122.0,153.0,119289586.0,779670.496732026,166851513282.777,0.000218352654227889,0.0001,51.10609378,234053.0,504885.0,3.14861591482278,0.0267,1589688.9461553
2016-04-12,427.427664582116,504477.0,148.0,121487916.0,820864.297297297,166851513282.777,0.000211419185566437,0.0001,49.4156405,233733.0,537056.0,3.98142788333351,0.023584,2138249.73331156
2016-04-13,424.87251811806,497314.0,164.0,116924025.0,712951.37195122,166851513282.777,0.000204375726941208,0.0001,45.95592596,224860.0,506110.0,4.44183415997263,0.027951,2248056.68670375
2016-04-14,425.8565949737,466772.0,164.0,116249309.0,708837.25,174856233875.271,0.000197152438458779,0.0001,45.0584012,228546.0,521432.0,3.65878480099215,0.0245,1907807.47635094
2016-04-15,430.724418760959,439873.0,139.0,111380812.0,801300.805755396,178678307671.688,0.000209972776341897,0.0001,44.76346627,213187.0,477433.0,4.37703309106622,0.027864,2089740.03976702
