,doge_PriceUSD,doge_AdrActCnt,doge_BlkCnt,doge_BlkSizeByte,doge_BlkSizeMeanByte,doge_DiffMean,doge_FeeMeanNtv,doge_FeeMedNtv,doge_FeeTotNtv,doge_TxCnt,doge_TxTfr,doge_TxTfrValMeanNtv,doge_TxTfrValMedNtv,doge_TxTfrValNtv
2015-03-12,0.00014431944959551784,63893.0,1375.0,21497512.0,15634.5541818182,15714.0663691068,1.18555977372695,1.0,52137.36216919,43977.0,107799.0,222502.584664808,21.0,23985556124.2816
2015-03-13,0.00013944941848531271,77217.0,1358.0,26188495.0,19284.6060382916,16425.2573557562,1.20504167713666,1.0,61107.6634476,50710.0,121659.0,226131.033672462,29.0,27510875425.55804
2015-03-14,0.00014269984816160305,76714.0,1366.0,24235596.0,17742.0175695461,15946.8153683318,1.24801322109637,1.0,52681.13408892,42212.0,117230.0,196830.881624063,100.00000021,23074484252.788914
2015-03-15,0.00014271882868553852,69605.0,1365.0,23783583.0,17423.8703296703,15587.0698498216,1.32023003966955,1.0,46025.85964296,34862.0,101843.0,428175.417161128,67.368289905,43606669009.9408
2015-03-16,0.0001437300903959926,56696.0,1385.0,19612411.0,14160.5855595668,15837.6315334811,1.24559252737247,1.0,43219.56951477,34698.0,91325.0,633317.864021616,31.0,57837753931.774055
2015-03-17,0.00013828208749978434,53023.0,1364.0,18306138.0,13420.92228739,14594.9623192281,1.22041322214612,1.0,38168.42352262,31275.0,80082.0,576784.413741643,23.930859765,46190049421.258224
2015-03-18,0.00012695712641795637,51171.0,1343.0,18499831.0,13775.0044676098,11993.0064248217,1.21405784443667,1.0,35721.22395686,29423.0,80356.0,314735.826826636,24.97266664,25290912100.481186
2015-03-19,0.00013285609482776125,48244.0,1369.0,16770699.0,12250.3279766253,12315.1097653383,1.27163410920632,1.0,32764.92445781,25766.0,71750.0,244422.560209476,21.114878985,17537318695.029922
2015-03-20,0.0001339324154480807,42125.0,1381.0,17993372.0,13029.2338884866,12562.6908664163,1.27504883675645,1.0,30107.72818233,23613.0,68358.0,217995.99300558,25.67,14901770089.875433
2015-03-21,0.0001306589178911284,54263.0,1360.0,16618401.0,12219.4125,15038.7416451343,1.33167306155536,1.0,28733.50964918,21577.0,88722.0,285743.806929285,104.5,25351762038.380062
2015-03-22,0.00013367092114830684,65805.0,1368.0,20195517.0,14762.8048245614,15701.7137459144,1.37116389659776,1.0,35485.72164395,25880.0,89323.0,256528.281315431,52.200000025,22913875671.93822
2015-03-23,0.00013381892848501528,46171.0,1358.0,18445542.0,13582.8733431517,15940.6281358302,1.27520783433106,1.0,33627.23059131,26370.0,81937.0,383093.681686212,31.0,31389546996.32319
2015-03-24,0.00012790362125935997,40674.0,1364.0,16257769.0,11919.185483871,15712.63082719,1.30589455591793,1.0,32713.9645203,25051.0,70054.0,346330.642266455,24.0,24261846813.334248
2015-03-25,0.0001233492151174638,49036.0,1374.0,18959848.0,13799.0160116448,15628.761552308,1.17939415379177,1.0,41007.53472734,34770.0,81274.0,229729.150514476,27.470042,18671006978.91354
2015-03-26,0.000129724459230182,48842.0,1368.0,17363084.0,12692.3128654971,16769.4018010808,1.21936803638267,1.0,38084.52188034,31233.0,83745.0,171577.519993442,30.0,14368759411.85084
2015-03-27,0.00012789457234449076,58224.0,1385.0,20974961.0,15144.3761732852,16212.6426201384,1.18694556236096,1.0,49213.13690661,41462.0,101922.0,136603.072734217,36.0,13922858379.216824
2015-03-28,0.00012818374136083088,87592.0,1384.0,26520429.0,19162.1596820809,16282.8544670567,1.23113618437421,1.0,59777.81743229,48555.0,125820.0,143334.792311148,100.0,18034383568.588627
2015-03-29,0.0001257324885047536,90823.0,1367.0,26030120.0,19041.7849305048,16710.0622272181,1.23640625690486,1.0,59764.16924001,48337.0,138651.0,169715.297405947,92.16,23531195700.63202
2015-03-30,0.00012796786271354295,75418.0,1378.0,26813812.0,19458.4992743106,16503.3320594496,1.20838901717235,1.0,65961.12289137,54586.0,128645.0,197597.56771029,50.0,25419939098.09021
2015-03-31,0.0001246775932028593,76662.0,1374.0,26494152.0,19282.4978165939,16720.4912177708,1.13786362433053,1.0,69829.55276154,61369.0,132777.0,156171.914389221,50.0,20736038276.85766
2015-04-01,0.0001262557843135101,87658.0,1363.0,30630773.0,22473.0542920029,14956.6055668964,1.15696262978672,1.0,80555.83702416,69627.0,152189.0,311373.47192535,55.5090901,47387617318.84717
2015-04-02,0.0001296730058491092,77615.0,1382.0,27429798.0,19847.9001447178,15478.8434204924,1.19064669876633,1.0,71930.53901257,60413.0,140473.0,189799.268792551,55.99,26661672685.09606
2015-04-03,0.00012710771390136112,88741.0,1385.0,30452410.0,21987.2996389892,16941.8983457699,1.1288491151408,1.0,80495.97270246,71308.0,150269.0,161762.118848725,50.0,24307831837.278988
2015-04-04,0.00012869622369865734,87205.0,1364.0,26352136.0,19319.7478005865,15730.0754682898,1.19923675390696,1.0,64216.72969821,53548.0,142478.0,133139.426549897,99.98,18969439215.976204
2015-04-05,0.00012732032254624475,94042.0,1364.0,28543225.0,20926.1180351906,16217.8412212922,1.23688056818972,1.0,64779.1459978,52373.0,139007.0,139664.721211303,71.12000006,19414373901.419636
2015-04-06,0.00012332144847320675,64052.0,1348.0,22780964.0,16899.824925816,15862.2138945058,1.18825397745617,1.0,54016.83756118,45459.0,104548.0,94118.0248676276,46.64984815,9839851263.86073
2015-04-07,0.000122169182143076,66530.0,1352.0,23021422.0,17027.6789940828,17057.1468469495,1.54001088583348,1.0,77907.61070343,50589.0,114219.0,103154.787018485,48.97,11782236618.464384
2015-04-08,0.00011661975279479822,63133.0,1373.0,21483059.0,15646.8018936635,17275.13537136,1.632274202381,1.0,72557.85284424,44452.0,105902.0,232374.486150965,43.0,24608922832.359455
2015-04-09,0.00011596149052101202,60181.0,1346.0,20483040.0,15217.7117384844,16646.4738583078,1.67462058307079,1.0,75245.72665912,44933.0,103271.0,183064.612164988,45.3,18905265562.89046
2015-04-10,0.00011325338991868066,74070.0,1356.0,24841019.0,18319.3355457227,16526.4876362239,1.55808403964044,1.0,85928.33478617,55150.0,124965.0,174141.090306004,49.15527198,21761541350.089844
2015-04-11,0.00011608959303922774,76066.0,1365.0,21767840.0,15947.1355311355,17131.7339193521,1.57630621206294,1.0,68272.97465687,43312.0,122228.0,152776.784006833,108.94,18673600755.58718
2015-04-12,0.00011370024569107768,73015.0,1366.0,21770212.0,15937.1976573939,17793.75233531,1.24277778452156,1.0,49639.03026936,39942.0,115383.0,125775.79102991,94.99,14512388096.404152
2015-04-13,0.00010771424970330433,66538.0,1370.0,23339965.0,17036.4708029197,16014.5488688804,1.23479148238539,1.0,49828.77548018,40354.0,86867.0,184065.802877154,47.670809,15989244098.529716
2015-04-14,0.00010362332044216496,48077.0,1371.0,17812063.0,12992.0226112327,16264.3677926475,1.19913943477421,1.0,39858.19567246,33239.0,73541.0,239366.233768048,42.989534,17603232197.536045
2015-04-15,0.00010460843092578561,44846.0,1387.0,16362404.0,11796.9747656813,16923.4136084337,1.24090670198463,1.0,35839.86736672,28882.0,70113.0,197541.46843213,42.89,13850224976.181957
2015-04-16,0.00010693571986881968,42836.0,1364.0,14963400.0,10970.2346041056,17098.2075880034,1.21208402910937,1.0,34145.61918404,28171.0,66469.0,221671.154343515,44.92233276,14734259958.059105
2015-04-17,0.00010406697711407611,37475.0,1375.0,13196803.0,9597.67490909091,15680.5216967416,1.24252817333989,1.0,29055.27880538,23384.0,60831.0,201404.359334051,45.279105,12251628582.649673
2015-04-18,0.00010499708073933374,52497.0,1362.0,14172213.0,10405.4427312775,16151.5172793217,1.35907940329226,1.0,28900.82351101,21265.0,76736.0,241940.087248571,121.365,18565514535.106316
2015-04-19,0.00010652665551558355,50668.0,1354.0,13154783.0,9715.49704579025,16196.8149188511,1.59924631274319,1.0,21553.04255684,13477.0,60155.0,269219.68004582,94.0,16194909853.156275
2015-04-20,0.00010595896436145394,39260.0,1362.0,13356158.0,9806.28340675477,17115.0337013677,5.66450721843994,1.0,125667.09264109,22185.0,60841.0,227406.905303293,42.4368849,13835663525.557644
2015-04-21,0.00011035428376094978,32213.0,1368.0,16076075.0,11751.5168128655,16787.8233063674,1.39595345023829,1.0,25834.91050356,18507.0,48333.0,146988.408319933,39.0,7104390739.327346
2015-04-22,0.00010915012263352979,35624.0,1370.0,13141262.0,9592.16204379562,16066.3652724369,1.38709606506764,1.0,25940.08351283,18701.0,55016.0,61340.2119466552,35.48,3374693100.457185
2015-04-23,0.00011136683007647627,31679.0,1375.0,12115056.0,8810.94981818182,15243.4342713012,1.37955489469309,1.0,23531.06783878,17057.0,50907.0,107114.952885743,30.0,5452900906.554497
2015-04-24,0.00010464265956911575,33779.0,1377.0,12346329.0,8966.10675381264,15850.0240058008,1.3118293361586,1.0,23358.43315964,17806.0,53727.0,100981.302063498,30.0,5425422415.965532
2015-04-25,9.97229640088861e-05,48912.0,1369.0,14467326.0,10567.8056975895,16409.7904792994,1.36036410814163,1.0,26221.01818443,19275.0,66245.0,157987.307323671,118.99737744,10465869173.656572
2015-04-26,9.762035066664156e-05,54463.0,1366.0,15410271.0,11281.3111273792,16172.8808333281,1.3788063669101,1.0,28697.0969145,20813.0,82342.0,191306.617212979,73.73,15752569474.551107
2015-04-27,0.00010483064307169989,36077.0,1358.0,12880795.0,9485.12150220913,15799.1780679014,1.35155813091755,1.0,23818.50894116,17623.0,52047.0,262366.750129412,28.8,13655402243.985504
2015-04-28,0.000100610468150802,28835.0,1378.0,12080329.0,8766.56676342525,15359.6061344292,1.4079211972928,1.0,19382.85112313,13767.0,42311.0,225398.004119869,26.0,9536814952.31576
2015-04-29,9.888257121292293e-05,25001.0,1364.0,11207325.0,8216.51392961877,16620.6096461033,1.47025989342118,1.0,17907.76550187,12180.0,38406.0,302870.155660735,36.037671185,11632031198.306171
2015-04-30,0.00010325511817422893,31795.0,1370.0,11062653.0,8074.92919708029,16418.8402945927,1.52326573408222,1.0,17601.33555732,11555.0,47588.0,268604.664433991,52.0,12782358771.084759
2015-05-01,9.696173664646538e-05,33143.0,1386.0,12471512.0,8998.20490620491,15860.3452842372,1.21252583252801,1.0,21751.50090972,17939.0,48149.0,393838.469883151,37.26,18962928486.40386
