,ltc_PriceUSD,ltc_AdrActCnt,ltc_BlkCnt,ltc_BlkSizeByte,ltc_BlkSizeMeanByte,ltc_DiffMean,ltc_FeeMeanNtv,ltc_FeeMedNtv,ltc_FeeTotNtv,ltc_TxCnt,ltc_TxTfr,ltc_TxTfrValMeanNtv,ltc_TxTfrValMedNtv,ltc_TxTfrValNtv
2019-01-02,33.3502336657273,79396.0,592.0,16034421.0,27085.1706081081,5897117.31420191,0.000662153773327652,0.000224,15.54074906,23470.0,68024.0,35.9152129859228,0.20937,2443096.44815441
2019-01-03,31.7170613209944,76432.0,586.0,15379516.0,26244.9078498294,5980878.7802105,0.000654120155823087,0.000224295,15.32211053,23424.0,67504.0,42.6936013178361,0.21,2881988.86335921
2019-01-04,32.1228835995184,72963.0,594.0,14508856.0,24425.6835016835,5980878.7802105,0.000626032582531678,0.000224,14.77249085,23597.0,66880.0,27.0280224184652,0.21399577,1807634.13934695
2019-01-05,34.8062532130223,73356.0,593.0,14624566.0,24662.0,5986105.96606985,0.000652436145863126,0.000224,15.96837467,24475.0,70133.0,31.0173916877096,0.241716,2175342.73123414
2019-01-06,39.2681180679443,72071.0,589.0,15571891.0,26437.8455008489,6153085.51435457,0.000744768265926406,0.000226,18.37790173,24676.0,72078.0,51.2545187564698,0.25,3694323.20292883
2019-01-07,37.7270905719878,69752.0,541.0,13703402.0,25329.7634011091,6153085.51435455,0.000711236828213277,0.000224,16.11378158,22656.0,67030.0,65.4494298277625,0.209514005,4387075.28135492
2019-01-08,39.3955094290701,72819.0,595.0,14185540.0,23841.243697479,6153085.51435457,0.00072358756139595,0.000224,16.7944673,23210.0,69020.0,38.2028064697762,0.2,2636757.70254395
2019-01-09,38.826753619502,67168.0,567.0,13069228.0,23049.7848324515,6128757.68963704,0.000638429046469268,0.000224,15.0713945,23607.0,68706.0,38.4014383360717,0.2,2638409.22231814
2019-01-10,33.3545891073539,69940.0,595.0,13671648.0,22977.5596638655,6106167.56668507,0.000692319413576445,0.000222,16.85867004,24351.0,71304.0,54.4254576010283,0.25,3880752.82878372
2019-01-11,31.7495467191862,69009.0,639.0,12993654.0,20334.3568075117,6106167.56668507,0.000584076090487715,0.000224,14.23919101,24379.0,70544.0,60.4042151066323,0.21949668,4261154.95048227
2019-01-12,32.052424825875,64887.0,630.0,12895739.0,20469.426984127,6193050.88739433,0.000611322500104327,0.000224,14.64912107,23963.0,66437.0,29.6359189637046,0.21621876,1968921.54819164
2019-01-13,29.8642236174642,65001.0,571.0,11793399.0,20653.938704028,6491635.82053603,0.000657097412699915,0.000224,13.88709672,21134.0,64842.0,24.0687796681446,0.16038492,1560667.81124183
2019-01-14,32.0444308085191,65143.0,551.0,12361371.0,22434.4301270417,6491635.82053602,0.000679841226889206,0.000224,14.74507637,21689.0,64833.0,26.3800208951014,0.178566035,1710295.89469211
2019-01-15,31.0123839813911,67585.0,523.0,13227923.0,25292.395793499,6491635.82053602,0.000642874171223513,0.000224,15.0483986,23408.0,66542.0,20.7584495811116,0.199166565,1381308.75202633
2019-01-16,31.462281056142,66635.0,584.0,12537191.0,21467.7928082192,6338652.8443213,0.000616030543507126,0.000224,13.9185941,22594.0,65347.0,27.6779046862639,0.19309967,1808668.03753329
2019-01-17,31.7889963547683,65425.0,600.0,12359688.0,20599.48,6239968.05121387,0.000627081073335327,0.000224,14.68184917,23413.0,66461.0,19.7841014108545,0.2,1314871.1638668
2019-01-18,30.9624203733734,68593.0,603.0,13792036.0,22872.3648424544,6239968.05121387,0.000593892871865204,0.000224,15.15614609,25520.0,69576.0,23.9823426403347,0.192490985,1668595.47154393
2019-01-19,32.2772321755339,69066.0,580.0,13554030.0,23369.0172413793,6282599.47971452,0.000610126814593202,0.000224,14.68331192,24066.0,67211.0,31.1142192224898,0.17389429,2091217.78816276
2019-01-20,30.645738131722,64495.0,564.0,12044124.0,21354.829787234,6442642.05556107,0.000619008796935946,0.0002,13.17188819,21279.0,63412.0,24.6152810531119,0.16964537,1560904.20213993
2019-01-21,30.9160653427143,73597.0,551.0,13807835.0,25059.5916515427,6442642.05556107,0.000690258544044021,0.000224,15.30372218,22171.0,63659.0,17.0397172062794,0.16813502,1084731.35763454
2019-01-22,31.526865644545,64291.0,588.0,12352536.0,21007.7142857143,6442642.05556107,0.000691644649372862,0.000224,14.55773658,21048.0,61772.0,28.8743387808227,0.16973172,1783625.65516898
2019-01-23,31.6818453680573,56314.0,597.0,11660293.0,19531.4790619765,6413416.38231316,0.000658369409252669,0.0001848,12.95012628,19670.0,55119.0,22.6854149749569,0.18900612,1250397.38800465
2019-01-24,32.5760077356543,62499.0,571.0,11999069.0,21014.1313485114,6399667.35869158,0.000700183236791547,0.000168,14.57781499,20820.0,66822.0,23.2465835847525,0.15708202,1553383.20830033
2019-01-25,32.6891721869729,76354.0,604.0,15699657.0,25992.809602649,6399667.35869159,0.00072543791540404,0.000168,17.23640487,23760.0,67279.0,24.0030578523692,0.2,1614901.72924955
2019-01-26,32.8571547374187,66622.0,609.0,13609298.0,22346.9589490969,6474570.58971238,0.000680504723658767,0.00019,15.13238354,22237.0,65652.0,24.9282122156969,0.189823495,1636586.98838493
2019-01-27,32.2257860342842,62325.0,645.0,11772723.0,18252.2837209302,6661828.66726446,0.000600033417579742,0.00016823,12.32168623,20535.0,61444.0,17.7765980536736,0.172008485,1092265.29080992
2019-01-28,31.0332936214087,69246.0,572.0,13763095.0,24061.3548951049,6661828.66726446,0.000717116120316198,0.000224,16.05694705,22391.0,65439.0,37.4387584571974,0.20733,2449954.91468054
2019-01-29,30.7522990456016,69114.0,601.0,12740592.0,21198.9883527454,6661828.66726446,0.000711361737224958,0.000224,15.74456933,22133.0,64783.0,22.5415095116142,0.18164187,1460306.6106909
2019-01-30,31.7503233577764,64654.0,592.0,12484568.0,21088.7972972973,6962502.14648198,0.000638315753687975,0.00022315,14.27912341,22370.0,68228.0,24.613947149793,0.188026275,1679360.38613608
2019-01-31,31.2097937403287,63467.0,552.0,12595336.0,22817.6376811594,6975206.65968834,0.000601347516051182,0.00021854,13.2061928,21961.0,59952.0,28.9404055598457,0.2,1735035.19412387
2019-02-01,32.6599836253021,75319.0,564.0,14792330.0,26227.5354609929,6975206.65968834,0.000651216936187237,0.000168,16.27716732,24995.0,68451.0,27.3159182804824,0.23807964,1869801.9222173
2019-02-02,34.2146987149581,65174.0,591.0,13688633.0,23161.8155668359,6971758.6926844,0.000605359720224522,0.000168,13.80462306,22804.0,64754.0,23.1783024786599,0.187248,1500887.79870314
2019-02-03,33.2395821350798,68136.0,623.0,12668963.0,20335.4141252006,6967338.90486479,0.000654948101959328,0.00017401,14.10627222,21538.0,68082.0,32.5242751277586,0.142885225,2214317.69924806
2019-02-04,33.7284201075474,67761.0,570.0,13388316.0,23488.2736842105,6967338.90486479,0.000682832668631006,0.0001725,15.06328867,22060.0,64697.0,30.8559781673674,0.16728926,1996289.21949417
2019-02-05,33.9390189960356,64271.0,586.0,12707097.0,21684.4658703072,6972585.43574599,0.000667018633423181,0.0002,14.84783478,22260.0,64384.0,23.9677383249009,0.18,1543138.86431042
2019-02-06,32.5746508738038,65829.0,581.0,12632406.0,21742.5232358003,7107087.40924599,0.000667572655937485,0.000168,14.35214453,21499.0,61873.0,23.6970628484879,0.18742213,1466208.36962449
2019-02-07,32.8762756321049,67881.0,588.0,12675938.0,21557.7176870748,7107087.40924599,0.000627317649932536,0.0001848,13.48293825,21493.0,64661.0,23.2328757573131,0.153118,1502260.97934362
2019-02-08,42.2735445955449,84485.0,574.0,18713958.0,32602.7142857143,7107087.40924599,0.000691754577890741,0.000192,21.50111579,31082.0,82245.0,47.8269744291529,0.329918755,3933529.51192568
2019-02-09,44.2402278015403,77013.0,577.0,16737508.0,29007.8128249567,7131713.69653661,0.000630577462083604,0.000168,18.41853709,29209.0,76441.0,34.9301274015923,0.23880584,2670093.86870512
2019-02-10,46.5325584987155,73339.0,594.0,15513970.0,26117.7946127946,7150674.42693523,0.00072766651259152,0.00021107,18.08833417,24858.0,71969.0,47.2381331872328,0.18096581,3399681.20735196
2019-02-11,42.5944786697477,74794.0,599.0,14900839.0,24876.1919866444,7150674.42693523,0.000696432731457181,0.000226,17.24854946,24767.0,70594.0,32.608828959978,0.20580213,2301987.67160069
2019-02-12,43.6066970234533,69627.0,586.0,13970739.0,23840.8515358362,7181135.02890116,0.000657849588503154,0.000224,15.7469456,23937.0,67797.0,51.7786002812716,0.20390876,3510433.76326937
2019-02-13,41.3894122940268,74814.0,588.0,14001364.0,23811.843537415,7351235.24437377,0.00062761949006405,0.000226,15.2863003,24356.0,74961.0,37.5210337195795,0.14255771,2812614.2086534
2019-02-14,41.1666545668557,74093.0,577.0,14576145.0,25261.9497400347,7351235.24437377,0.000609802375704877,0.000224,14.16631899,23231.0,68053.0,72.7159948848818,0.17852929,4948541.59990086
2019-02-15,42.1019477852504,72208.0,590.0,15642027.0,26511.9101694915,7351235.24437377,0.000615574937880533,0.000224,14.96339559,24308.0,69745.0,57.2094810638301,0.194883995,3990075.25679683
2019-02-16,43.3025184299477,69145.0,597.0,13412515.0,22466.5242881072,7484091.95330747,0.000625476417596567,0.000226,14.57360053,23300.0,68134.0,22.0434060512153,0.16655101,1501905.4278935
2019-02-17,43.4893759182667,67162.0,582.0,12965678.0,22277.7972508591,7537859.84492301,0.000673214110051291,0.000226,14.96285681,22226.0,67440.0,27.7608106743393,0.164,1872189.07187744
2019-02-18,47.5416337336457,82301.0,604.0,17494313.0,28964.0943708609,7537859.84492301,0.000736154744236173,0.000226,19.12603641,25981.0,73541.0,31.1339530299177,0.22350583,2289622.03977318
2019-02-19,47.236178794218,74566.0,605.0,15147294.0,25036.8495867769,7590792.27836001,0.000681607738761335,0.000226,17.66386455,25915.0,72243.0,29.7776556591201,0.22020579,2151227.17778181
2019-02-20,51.1612765623703,76765.0,585.0,15592128.0,26653.2102564103,7697980.45606992,0.00069772190293147,0.000226,17.96982761,25755.0,75306.0,35.226740959718,0.18718718,2652784.95471252
2019-02-21,48.5151237188055,72088.0,596.0,14968488.0,25114.9127516779,7697980.45606992,0.000686729436706017,0.000226,16.81182334,24481.0,71846.0,29.6347643060677,0.18268348,2129139.27633374
2019-02-22,49.399914649565,75189.0,573.0,14915319.0,26030.2251308901,7697980.45606992,0.000623780170695914,0.000224,16.15216374,25894.0,72636.0,22.5380577545192,0.20180431,1637074.36305726
2019-02-23,51.3721988904255,69643.0,622.0,13711890.0,22044.8392282958,7858543.13256273,0.000612098995169082,0.000226,15.20453904,24840.0,73084.0,21.7600986172333,0.19457572,1590315.04734188
2019-02-24,44.1210318447997,71094.0,574.0,14720849.0,25646.0783972125,7876319.71460297,0.000689859475898846,0.000226,16.558697,24003.0,67009.0,61.1355634887338,0.21931756,4096632.97381656
2019-02-25,45.4088775694766,71397.0,583.0,15653707.0,26850.269296741,7876319.71460298,0.000692652709326919,0.000224,16.70193478,24113.0,69272.0,29.9815407213194,0.2,2076881.28884724
2019-02-26,44.6046951022823,67901.0,598.0,12810560.0,21422.3411371237,8062265.64255433,0.000658098391224059,0.000224,14.96778981,22744.0,66792.0,49.0124172303951,0.16994279,3273637.37165255
2019-02-27,45.0154760725778,67917.0,598.0,13080676.0,21874.0401337793,8248211.57050578,0.000610338199613651,0.000224,14.21782836,23295.0,66209.0,43.3457714846276,0.17393113,2869880.18422571
2019-02-28,45.6246333915666,67727.0,534.0,13073327.0,24481.8857677903,8248211.57050575,0.000575649970890989,0.00018731,13.64520691,23704.0,66926.0,47.2058553605485,0.19584699,3159299.07586007
2019-03-01,47.1939150626616,75850.0,574.0,15344802.0,26733.1045296167,8248211.57050577,0.000671166333690823,0.00021107,17.52281064,26108.0,73393.0,29.0450504059071,0.180185,2131703.38444074
2019-03-02,48.3832200861709,68050.0,584.0,13383119.0,22916.2996575342,8103559.01392179,0.000614442783855149,0.000168,14.65999038,23859.0,67592.0,25.6885485804903,0.16832797,1736340.3756525
2019-03-03,47.4981434352306,62780.0,604.0,12167693.0,20145.1870860927,8100782.08875177,0.000642698224299065,0.000225,13.54743587,21079.0,64555.0,16.4231495597396,0.16575073,1060196.41982899
2019-03-04,45.6429554471001,72813.0,622.0,14921429.0,23989.4356913183,8100782.08875177,0.000774617835589275,0.000226,17.96958455,23198.0,63059.0,28.1579452405906,0.174668665,1775611.8689264
2019-03-05,52.3291243492285,77039.0,630.0,15817820.0,25107.6507936508,8412095.57568287,0.000700840340169332,0.000226,18.62483204,26575.0,73468.0,49.5808849794751,0.25,3642608.45767208
2019-03-06,55.4868154432604,75776.0,577.0,16233366.0,28134.0831889081,8575667.06881621,0.000705772294481872,0.000226,18.12352675,25679.0,70395.0,36.1799170944128,0.244254905,2546885.26386119
2019-03-07,56.5413244984626,85204.0,581.0,37435603.0,64433.0516351119,8575667.06881621,0.00143805123371621,0.000226,41.06499103,28556.0,75100.0,49.2235172362716,0.28536,3696686.144444
2019-03-08,55.4876988095199,73300.0,584.0,15066113.0,25798.1386986301,8593282.08747885,0.000619232675634156,0.000224,16.52670088,26689.0,71315.0,43.3396763987949,0.22367362,3090769.02238006
2019-03-09,57.3083090909494,72692.0,572.0,14653750.0,25618.4440559441,8649675.49254992,0.000607991949545756,0.00022164,15.59316953,25647.0,70794.0,22.4996852882532,0.2,1592842.7202966
2019-03-10,56.6484293334554,61505.0,573.0,11828967.0,20643.9214659686,8649675.49254992,0.0006460459759544,0.000226,13.48750184,20877.0,59152.0,16.7862613882743,0.18280942,992940.9336392
2019-03-11,54.8589437711972,69841.0,634.0,16430839.0,25916.1498422713,8649675.49254992,0.000845737539567715,0.000226,19.29042754,22809.0,65380.0,26.7162246807112,0.2,1746706.7696249
2019-03-12,56.6558717657885,69406.0,546.0,17171879.0,31450.3278388278,8900497.06897761,0.000818826361476913,0.000226,19.64855737,23996.0,65185.0,31.0322920581801,0.23873591,2022839.95781247
2019-03-13,55.3099414212166,74936.0,574.0,15728745.0,27401.9947735192,8955364.28882113,0.000822949442902705,0.000224,19.8684684,24143.0,75112.0,21.9895826291442,0.113686325,1651681.53044028
